EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 13-08-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : Minimum temperature in 0.1 &#176;C
30-34 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DE BILT, NETHERLANDS (STAID: 162)
Blended and updated with sources:520 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TN, Q_TN
   162,   520,19010101,  -65,    0
   162,   520,19010102,  -33,    0
   162,   520,19010103,  -76,    0
   162,   520,19010104,  -90,    0
   162,   520,19010105,  -82,    0
   162,   520,19010106, -114,    0
   162,   520,19010107, -121,    0
   162,   520,19010108,  -93,    0
   162,   520,19010109,  -26,    0
   162,   520,19010110,  -15,    0
   162,   520,19010111,  -75,    0
   162,   520,19010112,  -88,    0
   162,   520,19010113,  -80,    0
   162,   520,19010114,  -69,    0
   162,   520,19010115,  -35,    0
   162,   520,19010116,  -42,    0
   162,   520,19010117,  -24,    0
   162,   520,19010118,  -42,    0
   162,   520,19010119,   -7,    0
   162,   520,19010120,   45,    0
   162,   520,19010121,   64,    0
   162,   520,19010122,   71,    0
   162,   520,19010123,  -20,    0
   162,   520,19010124,  -12,    0
   162,   520,19010125,   51,    0
   162,   520,19010126,   31,    0
   162,   520,19010127,   40,    0
   162,   520,19010128,    0,    0
   162,   520,19010129,  -34,    0
   162,   520,19010130,  -21,    0
   162,   520,19010131,   -5,    0
   162,   520,19010201,  -19,    0
   162,   520,19010202,  -33,    0
   162,   520,19010203,  -56,    0
   162,   520,19010204,  -83,    0
   162,   520,19010205,  -34,    0
   162,   520,19010206,  -41,    0
   162,   520,19010207, -103,    0
   162,   520,19010208,  -10,    0
   162,   520,19010209,   11,    0
   162,   520,19010210,    9,    0
   162,   520,19010211,  -29,    0
   162,   520,19010212,  -50,    0
   162,   520,19010213,  -81,    0
   162,   520,19010214, -111,    0
   162,   520,19010215, -129,    0
   162,   520,19010216,  -22,    0
   162,   520,19010217,  -47,    0
   162,   520,19010218,  -62,    0
   162,   520,19010219,  -56,    0
   162,   520,19010220, -103,    0
   162,   520,19010221, -110,    0
   162,   520,19010222,  -39,    0
   162,   520,19010223,   -9,    0
   162,   520,19010224,  -15,    0
   162,   520,19010225,   27,    0
   162,   520,19010226,    4,    0
   162,   520,19010227,   11,    0
   162,   520,19010228,   38,    0
   162,   520,19010301,   40,    0
   162,   520,19010302,   46,    0
   162,   520,19010303,   46,    0
   162,   520,19010304,   21,    0
   162,   520,19010305,   45,    0
   162,   520,19010306,   35,    0
   162,   520,19010307,   31,    0
   162,   520,19010308,   11,    0
   162,   520,19010309,    8,    0
   162,   520,19010310,   10,    0
   162,   520,19010311,    7,    0
   162,   520,19010312,   39,    0
   162,   520,19010313,   15,    0
   162,   520,19010314,    9,    0
   162,   520,19010315,   12,    0
   162,   520,19010316,   60,    0
   162,   520,19010317,   18,    0
   162,   520,19010318,   27,    0
   162,   520,19010319,   15,    0
   162,   520,19010320,    2,    0
   162,   520,19010321,  -11,    0
   162,   520,19010322,  -13,    0
   162,   520,19010323,  -14,    0
   162,   520,19010324,  -11,    0
   162,   520,19010325,  -24,    0
   162,   520,19010326,  -66,    0
   162,   520,19010327,  -32,    0
   162,   520,19010328,  -51,    0
   162,   520,19010329,  -27,    0
   162,   520,19010330,   -6,    0
   162,   520,19010331,   63,    0
   162,   520,19010401,   20,    0
   162,   520,19010402,    0,    0
   162,   520,19010403,   80,    0
   162,   520,19010404,   37,    0
   162,   520,19010405,   -7,    0
   162,   520,19010406,  -18,    0
   162,   520,19010407,   70,    0
   162,   520,19010408,   54,    0
   162,   520,19010409,   66,    0
   162,   520,19010410,   52,    0
   162,   520,19010411,   57,    0
   162,   520,19010412,   51,    0
   162,   520,19010413,   33,    0
   162,   520,19010414,   55,    0
   162,   520,19010415,   28,    0
   162,   520,19010416,   14,    0
   162,   520,19010417,   14,    0
   162,   520,19010418,  -15,    0
   162,   520,19010419,   28,    0
   162,   520,19010420,   39,    0
   162,   520,19010421,   69,    0
   162,   520,19010422,  109,    0
   162,   520,19010423,   76,    0
   162,   520,19010424,   72,    0
   162,   520,19010425,   75,    0
   162,   520,19010426,    6,    0
   162,   520,19010427,   22,    0
   162,   520,19010428,   69,    0
   162,   520,19010429,   67,    0
   162,   520,19010430,   60,    0
   162,   520,19010501,   70,    0
   162,   520,19010502,   22,    0
   162,   520,19010503,   60,    0
   162,   520,19010504,   57,    0
   162,   520,19010505,   35,    0
   162,   520,19010506,   44,    0
   162,   520,19010507,   41,    0
   162,   520,19010508,   33,    0
   162,   520,19010509,   45,    0
   162,   520,19010510,   40,    0
   162,   520,19010511,   32,    0
   162,   520,19010512,   74,    0
   162,   520,19010513,   97,    0
   162,   520,19010514,   89,    0
   162,   520,19010515,   84,    0
   162,   520,19010516,   79,    0
   162,   520,19010517,   69,    0
   162,   520,19010518,   24,    0
   162,   520,19010519,   12,    0
   162,   520,19010520,   56,    0
   162,   520,19010521,   35,    0
   162,   520,19010522,   62,    0
   162,   520,19010523,   55,    0
   162,   520,19010524,   44,    0
   162,   520,19010525,   80,    0
   162,   520,19010526,  101,    0
   162,   520,19010527,   97,    0
   162,   520,19010528,   66,    0
   162,   520,19010529,   79,    0
   162,   520,19010530,  143,    0
   162,   520,19010531,  142,    0
   162,   520,19010601,  134,    0
   162,   520,19010602,  115,    0
   162,   520,19010603,  107,    0
   162,   520,19010604,   69,    0
   162,   520,19010605,   68,    0
   162,   520,19010606,   92,    0
   162,   520,19010607,   78,    0
   162,   520,19010608,   71,    0
   162,   520,19010609,   88,    0
   162,   520,19010610,   64,    0
   162,   520,19010611,   64,    0
   162,   520,19010612,   83,    0
   162,   520,19010613,   64,    0
   162,   520,19010614,   64,    0
   162,   520,19010615,   63,    0
   162,   520,19010616,   65,    0
   162,   520,19010617,   44,    0
   162,   520,19010618,   33,    0
   162,   520,19010619,   51,    0
   162,   520,19010620,   88,    0
   162,   520,19010621,  132,    0
   162,   520,19010622,  164,    0
   162,   520,19010623,  128,    0
   162,   520,19010624,   85,    0
   162,   520,19010625,   98,    0
   162,   520,19010626,   71,    0
   162,   520,19010627,   70,    0
   162,   520,19010628,   79,    0
   162,   520,19010629,  100,    0
   162,   520,19010630,   99,    0
   162,   520,19010701,  125,    0
   162,   520,19010702,  128,    0
   162,   520,19010703,  114,    0
   162,   520,19010704,   89,    0
   162,   520,19010705,  115,    0
   162,   520,19010706,   95,    0
   162,   520,19010707,  116,    0
   162,   520,19010708,  108,    0
   162,   520,19010709,   82,    0
   162,   520,19010710,  132,    0
   162,   520,19010711,  132,    0
   162,   520,19010712,  150,    0
   162,   520,19010713,  155,    0
   162,   520,19010714,  121,    0
   162,   520,19010715,  108,    0
   162,   520,19010716,  102,    0
   162,   520,19010717,  111,    0
   162,   520,19010718,  124,    0
   162,   520,19010719,  141,    0
   162,   520,19010720,  129,    0
   162,   520,19010721,  144,    0
   162,   520,19010722,  147,    0
   162,   520,19010723,  106,    0
   162,   520,19010724,  102,    0
   162,   520,19010725,  140,    0
   162,   520,19010726,  103,    0
   162,   520,19010727,  118,    0
   162,   520,19010728,  137,    0
   162,   520,19010729,  122,    0
   162,   520,19010730,  124,    0
   162,   520,19010731,  123,    0
   162,   520,19010801,  142,    0
   162,   520,19010802,  130,    0
   162,   520,19010803,  103,    0
   162,   520,19010804,   97,    0
   162,   520,19010805,  130,    0
   162,   520,19010806,  125,    0
   162,   520,19010807,  130,    0
   162,   520,19010808,  156,    0
   162,   520,19010809,  144,    0
   162,   520,19010810,  148,    0
   162,   520,19010811,  152,    0
   162,   520,19010812,  110,    0
   162,   520,19010813,   97,    0
   162,   520,19010814,  100,    0
   162,   520,19010815,  132,    0
   162,   520,19010816,   82,    0
   162,   520,19010817,   58,    0
   162,   520,19010818,  105,    0
   162,   520,19010819,  112,    0
   162,   520,19010820,  115,    0
   162,   520,19010821,  125,    0
   162,   520,19010822,   85,    0
   162,   520,19010823,   65,    0
   162,   520,19010824,   82,    0
   162,   520,19010825,   52,    0
   162,   520,19010826,  102,    0
   162,   520,19010827,  102,    0
   162,   520,19010828,   80,    0
   162,   520,19010829,   77,    0
   162,   520,19010830,   95,    0
   162,   520,19010831,  128,    0
   162,   520,19010901,   86,    0
   162,   520,19010902,   75,    0
   162,   520,19010903,   43,    0
   162,   520,19010904,   72,    0
   162,   520,19010905,   64,    0
   162,   520,19010906,   44,    0
   162,   520,19010907,   63,    0
   162,   520,19010908,   63,    0
   162,   520,19010909,  147,    0
   162,   520,19010910,  140,    0
   162,   520,19010911,   96,    0
   162,   520,19010912,  100,    0
   162,   520,19010913,   74,    0
   162,   520,19010914,  103,    0
   162,   520,19010915,  115,    0
   162,   520,19010916,   68,    0
   162,   520,19010917,   96,    0
   162,   520,19010918,   49,    0
   162,   520,19010919,   38,    0
   162,   520,19010920,   78,    0
   162,   520,19010921,  137,    0
   162,   520,19010922,   98,    0
   162,   520,19010923,  126,    0
   162,   520,19010924,  103,    0
   162,   520,19010925,  141,    0
   162,   520,19010926,  113,    0
